asset_id,category,condition,status,useful_life_years,purchase_date,purchase_cost,expiry_date,work_orders_count,downtime_minutes,labor_hours,priority,risk_level,asset_age_years,useful_life_consumed_ratio,days_to_warranty_expiry,is_warranty_expired,avg_downtime_per_wo,avg_labor_per_wo,annual_maintenance_frequency
AST-1062,Lab_Equipment,Fair,Under_Maintenance,7,2024-08-29,478.07,2026-12-30,5,552,15.38,Low,Medium,2.01,0.29,120,0,110.4,3.08,2.49
AST-1063,Workstation,Good,Active,7,2025-10-06,4682.38,2027-02-15,2,297,5.81,Medium,Low,0.9,0.13,167,0,148.5,2.9,2.22
AST-1064,Projector,Good,Active,7,2024-08-01,621.4,2027-02-23,4,183,15.65,Medium,Low,2.08,0.3,175,0,45.75,3.91,1.92
AST-1065,Lab_Equipment,Good,Active,5,2024-12-11,6215.63,2027-10-17,2,445,3.09,Critical,Low,1.72,0.34,411,0,222.5,1.54,1.16
AST-1066,Laptop,Poor,Active,3,2024-06-25,6597.92,2026-10-12,4,949,19.1,Low,Medium,2.18,0.73,41,0,237.25,4.78,1.83
AST-1067,Network_Switch,Good,Active,10,2024-03-10,4432.41,2027-12-07,9,1396,17.28,Low,Medium,2.48,0.25,462,0,155.11,1.92,3.63
AST-1068,Workstation,Good,Active,5,2024-05-09,5545.84,2026-11-28,6,1276,6.51,High,Medium,2.31,0.46,88,0,212.67,1.08,2.6
AST-1069,Lab_Equipment,Critical,Active,10,2016-04-04,7485.33,2026-03-26,16,3415,78.98,High,High,10.41,1.04,-159,1,213.44,4.94,1.54
AST-1070,Laptop,Fair,Active,5,2021-11-01,2095.32,2026-06-23,3,712,8.13,Medium,High,4.83,0.97,-70,1,237.33,2.71,0.62
AST-1071,Lab_Equipment,Poor,Under_Maintenance,5,2020-06-28,5983.05,2026-06-30,17,2699,28.36,Critical,High,6.18,1.24,-63,1,158.76,1.67,2.75
AST-1072,Workstation,Fair,Active,10,2018-03-04,4714.93,2026-09-03,10,1937,24.01,Low,High,8.5,0.85,2,0,193.7,2.4,1.18
AST-1073,Projector,Poor,Active,7,2018-03-22,7463.85,2026-05-30,15,3019,28.47,Low,High,8.45,1.21,-94,1,201.27,1.9,1.78
AST-1074,Lab_Equipment,Fair,Active,5,2022-10-31,1049.56,2026-11-07,9,1637,26.85,Low,High,3.84,0.77,67,0,181.89,2.98,2.34
AST-1075,Workstation,Good,Active,5,2026-01-08,6443.57,2027-06-05,1,172,3.26,Low,Low,0.65,0.13,277,0,172.0,3.26,1.54
AST-1076,Server,Poor,Under_Maintenance,7,2020-08-16,6439.13,2026-11-06,12,1918,48.13,Low,High,6.04,0.86,66,0,159.83,4.01,1.99
AST-1077,Server,Good,Active,7,2026-03-30,6263.3,2026-12-26,0,0,0.0,Medium,Low,0.42,0.06,116,0,0.0,0.0,0.0
AST-1078,Workstation,Fair,Active,5,2022-08-07,7366.42,2026-09-24,9,2041,33.76,Low,High,4.07,0.81,23,0,226.78,3.75,2.21
AST-1079,Laptop,Good,Active,7,2025-11-26,4533.41,2027-04-01,4,756,4.39,Low,Low,0.76,0.11,212,0,189.0,1.1,5.26
AST-1080,Laptop,Fair,Idle,5,2021-08-17,5251.4,2026-02-19,6,1037,21.71,Low,High,5.04,1.01,-194,1,172.83,3.62,1.19
AST-1081,Projector,Good,Active,3,2024-11-21,7099.67,2027-05-03,4,299,4.5,Medium,Low,1.78,0.59,244,0,74.75,1.12,2.25
AST-1082,Laptop,Poor,Active,7,2022-04-12,7274.17,2026-07-07,7,1380,20.48,Low,High,4.39,0.63,-56,1,197.14,2.93,1.59
AST-1083,Workstation,Good,Active,5,2023-10-12,1823.73,2027-06-04,4,180,10.28,Medium,Low,2.89,0.58,276,0,45.0,2.57,1.38
AST-1084,Lab_Equipment,Good,Active,5,2022-02-07,6506.87,2026-10-21,6,885,6.23,Low,High,4.56,0.91,50,0,147.5,1.04,1.32
AST-1085,Lab_Equipment,Good,Active,3,2025-03-12,635.74,2026-12-04,4,207,14.18,Medium,Low,1.47,0.49,94,0,51.75,3.54,2.72
AST-1086,Workstation,Fair,Active,10,2025-11-02,4243.2,2027-09-07,3,653,9.57,High,Medium,0.83,0.08,371,0,217.67,3.19,3.61
AST-1087,Laptop,Good,Active,5,2023-03-04,5594.29,2026-06-18,5,979,18.17,Medium,Medium,3.5,0.7,-75,1,195.8,3.63,1.43
AST-1088,Lab_Equipment,Good,Active,7,2024-06-18,7473.97,2028-01-02,2,168,5.7,High,Low,2.2,0.31,488,0,84.0,2.85,0.91
AST-1089,Network_Switch,Poor,Active,7,2022-09-15,2856.14,2027-04-12,11,1769,38.79,Medium,High,3.96,0.57,223,0,160.82,3.53,2.78
AST-1090,Workstation,Critical,Active,7,2018-05-22,1675.75,2026-05-07,17,1392,76.21,Medium,High,8.28,1.18,-117,1,81.88,4.48,2.05
AST-1091,Lab_Equipment,Critical,Active,5,2022-10-01,1561.02,2026-08-13,6,272,10.07,Medium,High,3.92,0.78,-19,1,45.33,1.68,1.53
AST-1092,Laptop,Fair,Active,7,2022-08-28,2165.87,2027-07-29,7,1486,12.76,Low,Medium,4.01,0.57,331,0,212.29,1.82,1.75
AST-1093,Laptop,Good,Active,3,2024-07-09,7049.9,2026-06-11,3,183,14.84,Critical,Low,2.15,0.72,-82,1,61.0,4.95,1.4
AST-1094,Workstation,Fair,Active,10,2018-04-22,6562.22,2026-08-24,15,544,33.48,Medium,High,8.36,0.84,-8,1,36.27,2.23,1.79
AST-1095,Workstation,Poor,Under_Maintenance,5,2020-05-13,1066.7,2025-11-27,12,1916,53.71,Medium,High,6.3,1.26,-278,1,159.67,4.48,1.9
AST-1096,Workstation,Fair,Active,10,2017-08-29,5203.25,2026-07-12,16,2690,79.96,Low,High,9.01,0.9,-51,1,168.12,5.0,1.78
AST-1097,Projector,Poor,Under_Maintenance,5,2020-12-28,5954.94,2026-01-05,10,981,24.66,Medium,High,5.68,1.14,-239,1,98.1,2.47,1.76
AST-1098,Lab_Equipment,Fair,Active,5,2023-08-31,2086.56,2026-08-10,8,813,20.17,Medium,High,3.0,0.6,-22,1,101.62,2.52,2.67
AST-1099,Lab_Equipment,Poor,Idle,5,2022-08-28,5830.67,2026-10-27,2,331,9.18,Low,Medium,4.01,0.8,56,0,165.5,4.59,0.5
AST-1100,Projector,Poor,Active,3,2023-01-06,2896.52,2026-06-26,7,817,10.41,Low,High,3.65,1.22,-67,1,116.71,1.49,1.92
AST-1101,Lab_Equipment,Fair,Active,3,2024-07-17,5434.23,2026-06-23,4,651,19.22,Medium,Medium,2.12,0.71,-70,1,162.75,4.8,1.89
AST-1102,Server,Good,Under_Maintenance,7,2024-06-20,1905.52,2027-07-26,4,810,10.78,Medium,Low,2.2,0.31,328,0,202.5,2.7,1.82
AST-1103,Workstation,Poor,Under_Maintenance,5,2023-08-24,4564.92,2026-07-04,2,329,6.86,Medium,Medium,3.02,0.6,-59,1,164.5,3.43,0.66
AST-1104,Workstation,Good,Active,5,2022-09-28,3927.04,2026-11-27,6,1092,19.88,Low,High,3.93,0.79,87,0,182.0,3.31,1.53
AST-1105,Workstation,Fair,Active,3,2023-03-02,1762.26,2026-04-05,2,396,3.87,Medium,Medium,3.5,1.17,-149,1,198.0,1.94,0.57
AST-1106,Server,Fair,Idle,5,2023-02-17,2702.77,2026-08-02,7,1224,12.63,Medium,High,3.54,0.71,-30,1,174.86,1.8,1.98
AST-1107,Workstation,Poor,Under_Maintenance,5,2021-09-19,2867.76,2026-09-30,9,1697,13.6,High,High,4.95,0.99,29,0,188.56,1.51,1.82
AST-1108,Network_Switch,Good,Active,7,2026-03-08,2552.21,2027-02-23,2,226,5.58,Medium,Low,0.48,0.07,175,0,113.0,2.79,4.17
AST-1109,Lab_Equipment,Fair,Under_Maintenance,10,2020-02-17,7444.32,2026-11-03,9,1910,38.01,High,Medium,6.54,0.65,63,0,212.22,4.22,1.38
AST-1110,Laptop,Good,Idle,3,2024-12-31,1632.02,2027-09-01,5,786,20.3,Low,Medium,1.67,0.56,365,0,157.2,4.06,2.99
AST-1111,Lab_Equipment,Good,Active,5,2025-07-30,3009.49,2026-11-29,4,545,11.03,Low,Low,1.09,0.22,89,0,136.25,2.76,3.67
AST-1112,Lab_Equipment,Good,Active,5,2022-08-01,5016.43,2026-07-01,6,359,8.91,Low,Medium,4.08,0.82,-62,1,59.83,1.48,1.47
AST-1113,Workstation,Fair,Active,5,2026-02-09,4016.9,2028-01-12,0,0,0.0,Medium,Low,0.56,0.11,498,0,0.0,0.0,0.0
AST-1114,Workstation,Good,Under_Maintenance,7,2022-06-28,1781.82,2027-04-10,5,422,20.21,Low,Low,4.18,0.6,221,0,84.4,4.04,1.2
AST-1115,Lab_Equipment,Fair,Idle,5,2026-06-05,2112.53,2028-01-03,1,145,2.82,High,Low,0.24,0.05,489,0,145.0,2.82,4.17
AST-1116,Workstation,Good,Active,5,2025-07-22,2705.2,2027-09-20,3,691,12.44,Low,Low,1.11,0.22,384,0,230.33,4.15,2.7
AST-1117,Lab_Equipment,Fair,Active,5,2024-11-22,6370.19,2026-11-16,5,694,8.0,Medium,Medium,1.77,0.35,76,0,138.8,1.6,2.82
AST-1118,Lab_Equipment,Good,Active,5,2026-03-29,1002.02,2027-09-11,0,0,0.0,Medium,Low,0.43,0.09,375,0,0.0,0.0,0.0
AST-1119,Laptop,Fair,Active,5,2021-08-07,5095.73,2026-05-26,4,933,8.73,High,High,5.07,1.01,-98,1,233.25,2.18,0.79
AST-1120,Lab_Equipment,Fair,Active,5,2025-03-15,1261.84,2027-07-28,1,233,4.19,Low,Low,1.46,0.29,330,0,233.0,4.19,0.68
AST-1121,Projector,Fair,Active,5,2022-10-26,5711.32,2026-10-27,8,444,14.32,High,Medium,3.85,0.77,56,0,55.5,1.79,2.08
AST-1122,Lab_Equipment,Critical,Active,5,2021-05-04,6515.73,2025-09-23,11,634,42.94,High,High,5.33,1.07,-343,1,57.64,3.9,2.06
AST-1123,Workstation,Poor,Active,5,2021-03-07,5602.89,2026-01-14,8,654,31.25,Critical,High,5.49,1.1,-230,1,81.75,3.91,1.46
AST-1124,Workstation,Poor,Active,5,2021-06-09,1848.65,2026-01-09,4,759,4.56,Medium,High,5.23,1.05,-235,1,189.75,1.14,0.76
AST-1125,Workstation,Good,Under_Maintenance,10,2021-10-14,2721.21,2027-01-04,9,1441,21.8,High,Medium,4.88,0.49,125,0,160.11,2.42,1.84
AST-1126,Workstation,Fair,Active,5,2023-06-17,4960.51,2026-06-15,7,296,16.36,High,Medium,3.21,0.64,-78,1,42.29,2.34,2.18
AST-1127,Network_Switch,Fair,Active,7,2021-11-19,3525.41,2026-06-30,10,1160,43.59,Medium,High,4.78,0.68,-63,1,116.0,4.36,2.09
AST-1128,Lab_Equipment,Good,Active,5,2025-05-03,2971.87,2027-03-27,2,185,9.53,Low,Low,1.33,0.27,207,0,92.5,4.76,1.5
AST-1129,Laptop,Poor,Active,7,2018-12-27,1721.32,2025-10-10,7,1280,20.9,Medium,High,7.68,1.1,-326,1,182.86,2.99,0.91
AST-1130,Network_Switch,Fair,Active,7,2025-01-31,4732.6,2026-12-29,2,178,4.09,Low,Low,1.58,0.23,119,0,89.0,2.04,1.27
AST-1131,Projector,Fair,Active,5,2024-10-13,5791.73,2027-05-16,1,43,4.63,Low,Low,1.88,0.38,257,0,43.0,4.63,0.53
AST-1132,Lab_Equipment,Good,Idle,5,2024-04-21,6788.82,2026-11-09,3,253,11.77,Critical,Low,2.36,0.47,69,0,84.33,3.92,1.27
AST-1133,Laptop,Poor,Active,5,2025-04-01,4413.84,2027-05-23,1,61,1.9,Low,Medium,1.42,0.28,264,0,61.0,1.9,0.7
AST-1134,Server,Poor,Active,5,2023-03-11,1214.86,2026-11-04,5,1142,22.0,Medium,High,3.48,0.7,64,0,228.4,4.4,1.44
AST-1135,Laptop,Fair,Under_Maintenance,5,2022-05-20,4272.57,2026-06-15,5,496,20.14,Medium,High,4.28,0.86,-78,1,99.2,4.03,1.17
AST-1136,Workstation,Poor,Idle,7,2018-08-26,6581.11,2026-05-06,16,699,45.69,High,High,8.02,1.15,-118,1,43.69,2.86,2.0
AST-1137,Lab_Equipment,Good,Active,5,2025-11-02,5063.14,2027-10-27,2,180,8.34,Medium,Low,0.83,0.17,421,0,90.0,4.17,2.41
AST-1138,Lab_Equipment,Good,Active,7,2022-12-20,6897.14,2027-06-22,7,480,32.03,Medium,Low,3.7,0.53,294,0,68.57,4.58,1.89
AST-1139,Workstation,Poor,Active,5,2022-08-11,992.6,2026-11-08,9,1327,27.99,Medium,High,4.06,0.81,68,0,147.44,3.11,2.22
AST-1140,Server,Poor,Active,3,2023-10-10,1730.62,2026-11-04,7,702,11.87,Medium,High,2.89,0.96,64,0,100.29,1.7,2.42
AST-1141,Server,Good,Active,3,2025-08-10,1408.0,2027-04-02,3,386,14.75,Medium,Low,1.06,0.35,213,0,128.67,4.92,2.83
AST-1142,Workstation,Good,Under_Maintenance,5,2024-06-12,5272.92,2026-11-30,5,470,9.25,Low,Low,2.22,0.44,90,0,94.0,1.85,2.25
AST-1143,Laptop,Critical,Active,5,2020-07-25,6585.55,2025-10-23,12,639,33.46,Medium,High,6.1,1.22,-313,1,53.25,2.79,1.97
AST-1144,Server,Good,Active,5,2024-02-05,7335.28,2026-12-18,8,1857,31.25,Low,Medium,2.57,0.51,108,0,232.12,3.91,3.11
AST-1145,Server,Poor,Active,5,2020-12-23,1199.32,2025-11-15,5,464,19.86,Low,High,5.69,1.14,-290,1,92.8,3.97,0.88
AST-1146,Projector,Good,Active,7,2020-07-16,4611.87,2026-11-10,7,260,23.32,Critical,Medium,6.13,0.88,70,0,37.14,3.33,1.14
AST-1147,Server,Good,Active,5,2026-02-06,6302.75,2027-07-21,4,554,10.89,Low,Low,0.57,0.11,323,0,138.5,2.72,7.02
AST-1148,Laptop,Fair,Active,7,2021-02-16,6736.92,2026-08-22,12,538,24.21,Medium,High,5.54,0.79,-10,1,44.83,2.02,2.17
AST-1149,Laptop,Good,Active,3,2025-12-25,2365.38,2028-01-01,1,88,1.83,Medium,Low,0.68,0.23,487,0,88.0,1.83,1.47
AST-1150,Workstation,Good,Under_Maintenance,3,2025-09-08,660.72,2026-12-17,2,451,5.18,Low,Low,0.98,0.33,107,0,225.5,2.59,2.04
AST-1151,Lab_Equipment,Good,Active,3,2025-03-20,4002.62,2027-11-19,2,225,5.37,Medium,Low,1.45,0.48,444,0,112.5,2.68,1.38
AST-1152,Projector,Critical,Under_Maintenance,7,2021-01-28,2596.55,2026-10-29,2,168,2.48,Medium,Medium,5.59,0.8,58,0,84.0,1.24,0.36
AST-1153,Lab_Equipment,Good,Active,3,2025-01-26,3639.28,2027-04-11,2,209,9.53,Medium,Low,1.6,0.53,222,0,104.5,4.76,1.25
AST-1154,Lab_Equipment,Poor,Active,5,2022-09-30,471.93,2026-09-25,5,299,5.23,Medium,High,3.92,0.78,24,0,59.8,1.05,1.28
AST-1155,Laptop,Fair,Active,5,2022-11-07,710.55,2026-06-26,9,1778,38.61,High,High,3.82,0.76,-67,1,197.56,4.29,2.36
AST-1156,Projector,Good,Active,5,2024-06-26,4533.61,2027-04-12,4,867,9.53,Low,Low,2.18,0.44,223,0,216.75,2.38,1.83
AST-1157,Workstation,Fair,Active,5,2022-06-22,2818.29,2026-06-16,8,286,24.17,Critical,High,4.19,0.84,-77,1,35.75,3.02,1.91
AST-1158,Laptop,Good,Active,3,2026-05-22,3154.71,2027-01-09,1,219,1.46,Critical,Low,0.28,0.09,130,0,219.0,1.46,3.57
AST-1159,Laptop,Fair,Idle,7,2021-02-13,6269.62,2026-11-27,10,844,17.78,Low,High,5.55,0.79,87,0,84.4,1.78,1.8
AST-1160,Laptop,Poor,Active,5,2020-05-21,4359.73,2026-03-27,9,1194,23.46,Critical,High,6.28,1.26,-158,1,132.67,2.61,1.43
AST-1161,Server,Fair,Active,5,2022-11-25,4806.69,2026-07-10,8,1568,11.99,High,High,3.77,0.75,-53,1,196.0,1.5,2.12
AST-1162,Laptop,Critical,Active,7,2018-01-28,1456.45,2026-02-12,18,1958,38.58,Low,High,8.59,1.23,-201,1,108.78,2.14,2.1
AST-1163,Network_Switch,Poor,Idle,5,2023-04-08,3895.51,2026-09-14,8,1662,36.58,Low,High,3.4,0.68,13,0,207.75,4.57,2.35
AST-1164,Server,Good,Active,5,2023-04-10,4848.81,2026-11-16,7,519,33.81,Low,Medium,3.39,0.68,76,0,74.14,4.83,2.06
AST-1165,Projector,Poor,Under_Maintenance,5,2021-04-05,2491.8,2026-07-28,10,1155,26.28,Low,High,5.41,1.08,-35,1,115.5,2.63,1.85
AST-1166,Laptop,Critical,Active,3,2023-06-27,7128.58,2026-07-07,4,162,5.17,Medium,High,3.18,1.06,-56,1,40.5,1.29,1.26
AST-1167,Laptop,Good,Under_Maintenance,5,2024-09-22,6104.73,2027-12-13,2,328,9.83,Medium,Low,1.94,0.39,468,0,164.0,4.92,1.03
AST-1168,Laptop,Good,Active,5,2025-09-22,6709.48,2027-06-09,1,173,1.97,Medium,Low,0.94,0.19,281,0,173.0,1.97,1.06
AST-1169,Server,Poor,Active,7,2021-07-28,4093.21,2026-06-29,6,180,18.27,Low,High,5.1,0.73,-64,1,30.0,3.04,1.18
AST-1170,Laptop,Good,Active,7,2025-12-11,6359.3,2026-11-01,1,105,2.08,High,Low,0.72,0.1,61,0,105.0,2.08,1.39
AST-1171,Laptop,Poor,Idle,7,2018-07-17,3480.1,2025-08-31,7,935,17.85,Medium,High,8.13,1.16,-366,1,133.57,2.55,0.86
AST-1172,Network_Switch,Poor,Active,3,2025-11-18,5462.63,2027-08-20,3,582,10.73,Low,Medium,0.79,0.26,353,0,194.0,3.58,3.8
AST-1173,Laptop,Fair,Active,10,2020-02-01,3472.38,2026-08-25,9,1720,23.99,High,High,6.58,0.66,-7,1,191.11,2.67,1.37
